> Initialized logger
>  * Debugger is active!
>  * Debugger PIN: 456-115-780
>  * Running on http://0.0.0.0:80/ (Press CTRL+C to quit)
> 192.168.137.49 - - [25/Feb/2019 21:19:27] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:19:27] "POST /api/validation/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:19:27] "POST /api/db/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:50] "POST /api/init/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:50] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:50] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:51] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:51] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:52] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:52] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:52] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:53] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:53] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:53] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:54] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:54] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:54] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:54] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:55] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:55] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:55] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:56] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:57] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:57] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:57] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:58] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:58] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:58] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:59] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:59] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:21:59] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:00] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:00] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:01] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:01] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:01] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:01] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:02] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:03] "POST /api/chunk/ HTTP/1.1" 200 -
> 192.168.137.49 - - [25/Feb/2019 21:22:03] "POST /api/chunk/ HTTP/1.1" 200 -
